"full","null"
361.983574525975,330.482350185215
416.659631021006,385.350416823747
363.169162408716,332.304663416638
385.619268007008,357.011844090542
470.071440250794,437.721363679902
430.30468427264,402.992693214484
392.914167293936,360.234848596304
405.147492472693,372.745948651605
445.762198601046,412.606975880788
399.468746184952,367.082645029115
406.356036771431,376.529149606225
407.394013422998,375.853366170615
391.227705915852,358.120729499205
422.834960398446,396.3856459825
394.336725862487,361.916495552668
403.667981022294,371.320797356737
412.847005618863,381.06139426857
396.966140168584,364.441553076784
421.138435675066,388.783180974402
375.112018970601,343.182492019906
382.316514066537,347.716874202616
388.206041657815,359.381993573111
397.016645312722,365.882033982085
403.656470390421,373.48980151557
356.658922480844,325.323157831387
407.55164066392,372.579958880282
424.42453746862,395.470076238027
412.415790452576,380.823525727868
377.634487864367,346.90938008807
414.148318413945,387.217610171264
386.725771223153,356.16024140549
401.506423525326,372.660364397643
389.219998243354,356.14936455258
395.234788445518,363.883268597042
404.504896083673,373.960682984421
383.758272692538,350.076948805068
405.717468679633,372.104837816936
409.852556748372,377.341216480381
405.728595530999,372.723662615946
406.325709073131,372.940672064508
372.600778880001,342.601667464588
389.754299606326,357.00128223388
430.18704345741,396.332763660964
432.324842352515,399.238780843805
402.13146690641,370.642246188799
419.248370611856,385.780480506453
396.554220556174,366.768408158985
395.847318979459,364.580790029603
419.092701100672,388.364438486192
391.005403250743,358.330829927788
457.121942176724,424.629237684227
378.660535372774,347.104428017329
386.919819711691,355.142788908597
445.698050857807,411.162422050285
408.928436160509,375.882344305798
390.432098511128,363.154823909808
420.159131378498,388.912927234749
392.952387597791,364.496206481254
383.864812968534,351.622090943434
406.7324341708,373.558198474008
402.678685789906,374.55214158763
375.537722353772,343.828812818875
406.71093927835,375.093761048982
386.20260734242,359.552679584446
387.283250464655,352.252825337726
432.97049340094,403.26917041699
421.137370676018,387.160820539703
370.883337441741,339.632411295276
405.143129167428,375.688791250118
391.243934361161,358.376065148186
402.492865148898,369.5474518431
392.475548844932,363.19576161901
413.81995294709,381.272720830333
404.630787538938,381.082842335885
398.156497263097,365.239989152573
369.11279688824,337.050008403709
430.619962421002,399.831690805977
425.621541440334,393.575391141095
408.02170503615,374.894953800082
421.936623929995,387.838506944573
387.523373533088,357.185604247891
396.167964086939,365.363741344913
424.970886324296,396.153857511609
399.497120766983,367.366746542059
418.928077519859,384.698338861534
395.11237322489,363.297986918192
394.585533022424,364.14445341166
369.0638299155,340.914697034706
426.796820444467,400.23827851694
406.493762721284,372.857210716723
391.541112630772,361.562593565035
397.285600483544,368.727776264737
405.319015824607,374.840363892089
422.624219367291,392.460870489499
434.151618873001,402.958038915461
399.564450602367,366.774619945416
423.782606625755,392.650125865317
411.516225455075,378.985120708294
395.430100731198,363.688564479757
414.436558428386,381.262538326106
