i,lambda1,mu1,q01,q10,p
34,34,0.403225390937433,0.000176218155144797,0.0750088338747071,0.165607431422008,-172.093344205641
35,35,0.42180923581206,0.137175495749129,0.00597252755069836,0.234802579727638,-172.49699641863
36,36,0.462315301886607,0.132158213241993,0.016385410178163,0.205375527010666,-173.03606188947
37,37,0.426929281041516,0.00457898358552882,0.0151460109378142,0.24252541689708,-171.594976854364
38,38,0.440583353752091,0.0259380784584515,0.0392346670671988,0.187409132812684,-172.10481863436
39,39,0.347003496849441,0.0381712958628895,0.00184039828365683,0.189035451946963,-171.206099778691
40,40,0.312601037750039,0.00781050760512016,0.0684914344543408,0.193896467187147,-172.139229944102
41,41,0.411955322589507,0.0139879731804474,0.0195260813904131,0.254110494335168,-171.36973491098
42,42,0.415694070345814,0.175530202190765,0.0404613068744679,0.230923903969273,-174.217688241789
43,43,0.411687195887523,0.0338723671464013,0.0451365167707323,0.208476791176056,-171.555447656024
44,44,0.351067526586401,0.0948763232400089,0.0489243629615699,0.157417166825597,-173.327074781973
45,45,0.455445252317619,0.0506695488747003,0.00361984042862424,0.22445074228748,-171.935673369759
46,46,0.437203949203804,0.0301124328583314,0.0016531999240352,0.216957782440158,-171.377922209587
47,47,0.423011387185038,0.0319478665854436,0.0240204379393462,0.260892232652515,-171.79309540833
48,48,0.326648159033513,0.0221853220817807,0.0742147827022914,0.313828207121129,-172.953964267431
49,49,0.311801158279181,0.0240505478068507,0.0983049244873428,0.184585761088325,-173.882840037189
50,50,0.344666914294894,0.0236412002248612,0.094905092313762,0.160616081857996,-173.136581744083
51,51,0.341531487893278,0.0531163582275462,0.050342523025768,0.276696604182508,-172.689361099675
52,52,0.386327437446172,0.0551069769114255,0.0849461700413775,0.182251901845984,-172.746595474436
53,53,0.379258969386405,0.110744481882191,0.0776615050356586,0.243156474173922,-173.804569638801
54,54,0.406448041187945,0.0346824682504731,0.0193052016042115,0.282346447658889,-171.622433536195
55,55,0.389779351215642,0.0111842861652466,0.0140621062412534,0.102706585460276,-172.602085334948
56,56,0.376470291771189,0.00919657081601581,0.0300649915612024,0.218508922594966,-170.887325126254
57,57,0.382589857211519,0.0830971254750414,0.0366493694685757,0.22552256196364,-172.207986656289
58,58,0.422145053451944,0.126882611192712,0.0525812663932887,0.334303170201645,-174.161692150581
59,59,0.45380960193434,0.206580325797772,0.0629978512178472,0.413826688921863,-177.432092585397
60,60,0.449026176813894,0.143626233164214,0.140996020270826,0.448363864280345,-177.044871575345
61,61,0.490459718994132,0.166371234959018,0.152361263013841,0.4790597193058,-178.192518492786
62,62,0.536385385682971,0.205441694190846,0.115616647178029,0.0841484792791915,-180.566657787602
63,63,0.54266187421203,0.18965997172685,0.0656764731548452,0.166870052633211,-175.527970266278
64,64,0.436620588661727,0.11091857100922,0.0319593949749668,0.133542396728414,-172.73715574473
65,65,0.422419136638012,0.0530858721058099,0.0244872870309825,0.28706065945093,-172.148317825366
66,66,0.442790920619561,0.0321087831936395,8.70859820940942e-05,0.238799219606907,-171.476376582271
67,67,0.42686348032801,0.0430581942174793,0.0977434361113642,0.274362960548735,-173.370578899917
68,68,0.358168018331886,0.00364533856957571,0.0600877709683619,0.339799539730839,-172.283611771117
69,69,0.358955210276384,0.0135024193327876,0.0394276433107181,0.296750571433813,-171.583405132718
70,70,0.437046336561435,0.0158597380100236,0.0887959580141963,0.245300268792364,-173.263070229771
71,71,0.290476393236466,0.00836315097942284,0.0926196547779162,0.348910189679449,-174.574696531243
72,72,0.457607896005223,0.0527989345710273,0.0710986012385702,0.121501903345316,-174.093491473027
73,73,0.322146300800451,0.0256798249104517,2.98218948496205e-06,0.170738942088041,-171.757245150779
74,74,0.435260747645366,0.071938090453259,0.0303001244912589,0.155114056879176,-172.169206786153
75,75,0.409588688910986,0.0337008895667192,0.0251474282111882,0.132396677250743,-171.775908345152
76,76,0.384423336683174,0.0258757870841464,0.0454998032878322,0.301084088780902,-171.911302400608
77,77,0.316948989334638,0.0284542484056483,0.0618209881982379,0.197777702003002,-172.456221800312
78,78,0.346555123619917,0.0570091734268123,0.0145086847785671,0.211963092471852,-171.996183606296
79,79,0.425046729002123,0.00959416370242823,0.0464039912304883,0.273386967038798,-172.202207135333
80,80,0.346470476890257,0.0219065049733393,0.0756658317774577,0.216358949764339,-171.961812254807
81,81,0.393346846761376,0.0683938253299375,0.0877227380663592,0.183346153396664,-173.071387783911
82,82,0.376735515288008,0.0451394845148176,0.0672180837975359,0.269631198699135,-172.196051398592
83,83,0.469447080193494,0.138425384306013,0.0682595257716468,0.15934681283576,-173.920749296077
