i,lambda0,lambda1,mu0,mu1,q01,q10,p
20,20,0.274249788962776,0.480089480209199,0.115342298300187,0.0662217521417975,0.0158146465534264,0.293007833698296,-167.942865521211
21,21,0.277208712854744,0.545495182156074,0.0251546361464112,0.040554634938663,0.013350742745177,0.337515406974783,-167.008241200554
22,22,0.217987866487874,0.571622199815071,0.03159319228941,0.0260430200607331,0.0111638966491149,0.211472605760779,-166.322624961928
23,23,0.296682082003572,0.563545317866774,0.00924137026237707,0.272614188221801,0.00331760029742222,0.306471574322993,-170.310348001999
24,24,0.200567740548734,0.556197113695925,0.0607135211837162,0.109698500988697,0.0287237591495016,0.233687962141873,-168.223041383727
25,25,0.297447524299604,0.70479283771511,0.11810643986864,0.0263490405760426,0.0489707104998544,0.421296872685614,-170.50035415449
26,26,0.120702597491401,0.728139755071691,0.0131897287767264,0.13130596696919,0.0651464083019367,0.347431969065268,-172.692069447637
27,27,0.369159572489197,0.465005219757623,0.151406054458446,0.0519543256755581,0.047142378040311,0.320413556194719,-170.39998058792
28,28,0.302906837272654,0.559703606299009,0.0271750846644949,0.0199816270452096,0.0245272721510084,0.352902362954009,-167.815761592548
29,29,0.159311079474687,0.572260244206442,0.0349468014435303,0.00673283171347513,0.0219205877945271,0.429469990448074,-169.666370705779
30,30,0.286724351165883,0.48438999244996,0.069813023381333,0.0323604233540218,0.0197211306907907,0.0958538970318348,-170.815308843422
31,31,0.352736062915781,0.572564832002484,0.023472170046435,0.0427793911414,0.0311770338246268,0.361596115654149,-169.761001965492
32,32,0.34904776419474,0.508531595597725,0.128149576568336,0.0358069225524317,0.0184433989116799,0.39222934520322,-169.39865584086
33,33,0.274327685440454,0.803252616250053,0.084094268489075,0.180459302028902,0.042406885845041,0.217092330963126,-170.420537233165
34,34,0.31647148575559,0.693071441187445,0.012043213858886,0.195719766801712,0.0437826711158187,0.316251431276755,-169.731679127731
35,35,0.257160688664841,0.632338761749422,0.0100979383692641,0.188583735986725,0.0187325566408896,0.309561720797184,-167.852212793965
36,36,0.204698304905458,0.589344894270407,0.08242428623316,0.207488664140195,0.0176347717517431,0.209144266863628,-168.917903341909
37,37,0.285848114262302,0.684124349313389,0.109994780728713,0.0909486931971154,0.0308904308047236,0.200795499819328,-169.496595300655
38,38,0.296327698043678,0.662558755544927,0.0753829404148847,0.0562479880823078,0.02431131512019,0.372991897003383,-168.680852633837
39,39,0.348160669908176,0.611155791928719,0.0377097069509147,0.0498723137215516,0.00276449137748942,0.313309764092921,-168.112970832725
40,40,0.340552860272599,0.665215988252138,0.242750338595458,0.247147070785528,0.00622308045203914,0.322343413071112,-169.810817163047
41,41,0.274957227148821,0.607196152296293,0.195209794304242,0.175719810416076,0.00563394223279141,0.224669538232805,-169.070651354868
42,42,0.330405815670561,0.64686461813238,0.106922546456314,0.0565014110223123,0.00967542119727167,0.287722200058095,-167.513810545598
43,43,0.200881797570464,0.578578754763367,0.12386426935968,0.151105238066929,0.0239983191552955,0.295858956897822,-169.32117516501
44,44,0.381402767283028,0.654588944169331,0.163436551489736,0.110937815451128,0.0195035421250785,0.332071329718819,-169.421355375148
45,45,0.18255687771646,0.776815469161293,0.204927678193802,0.100211688483079,0.00323940438098474,0.53505315102502,-173.858497478891
46,46,0.372664431986865,0.682525942419373,0.613696871935364,0.200691314637125,0.0512162159974466,0.43521736083432,-177.61629479799
47,47,0.604861884709039,0.646577281090407,0.44666694403686,0.256215004934751,0.0158025715555113,0.357409765222342,-175.500942079814
48,48,0.546823983614029,0.823971346997106,0.497115614795509,0.009203507340148,0.0101430251558029,0.585219240564179,-176.438350365982
49,49,0.235464360734027,0.625328819278451,0.00399020494579408,0.0829096337255632,0.279334274417399,0.50351127118832,-174.751242547091
50,50,0.202686913154971,0.524430833682009,0.0231462725035975,0.134800903027543,0.367021357194183,0.626670625989966,-177.025061200475
51,51,0.386959484852502,0.314080503905606,0.108520081754736,0.0685614285556617,0.385177212339606,1.01873142556738,-180.118734661632
52,52,0.46185330932619,0.424522985003569,0.204130364249617,0.0021369928188113,0.449807401014719,0.893448752648044,-179.198284247623
53,53,0.397449183281273,0.538036115709258,0.124514059820433,0.0656847679917928,0.350519589893388,0.523678235638177,-178.252153927331
54,54,0.269961406135163,0.445143786669183,0.107266329225429,0.0706847752918452,0.0263375231132746,0.50240043262936,-173.79604963191
55,55,0.251214158223673,0.72754547426299,0.126565683725092,0.0578252054024422,0.0249303362437777,0.29986239852739,-169.129684787017
56,56,0.300261158546926,0.695871173280569,0.0993797764292278,0.0881022011833432,0.0240262505844308,0.289238010495334,-168.234334194486
57,57,0.279287431489294,0.612667691751371,0.0808155849326204,0.0401634637943109,0.0158151215946517,0.317854985437368,-166.998576983567
58,58,0.247283866690452,0.549613737519509,0.054401421292683,0.0109771068699663,0.000427601645112858,0.334744865118443,-166.039299198561
59,59,0.279463532064717,0.668935093373408,0.0455514713626381,0.0874705069675858,0.0138258869606828,0.224323467534105,-167.074531945531
60,60,0.206098508287442,0.673380027492713,0.0522904854611193,0.17996018873416,0.0338922349448205,0.33600736568621,-168.934375715798
61,61,0.238801523958551,0.755910944324573,0.123975778912127,0.0743367132040947,0.0274029069705127,0.392493670920575,-170.21227992298
62,62,0.235108038991295,0.565342208581811,0.140635085440494,0.0308559162402704,0.0176760339602513,0.401603245537883,-168.583859386599
63,63,0.24270713576323,0.553311019995674,0.111560134667636,0.0367056318423614,0.0207628596223365,0.326435507659872,-167.454417807279
64,64,0.223038967401018,0.495828931896491,0.0740518508394011,0.100480717506422,0.0303543501490869,0.262130724322375,-168.462984988001
65,65,0.19589641896784,0.484201085937288,0.0967785833003151,0.148430740772609,0.00212079322060223,0.267130766329804,-169.380810815259
66,66,0.206580850407261,0.600153012065702,0.0372028118187157,0.149310280127414,0.000838683868105194,0.299926320721193,-166.974425097434
67,67,0.290635974662674,0.523491573036517,0.0373502379583547,0.230400900473078,0.0124202071614587,0.174633486568377,-169.060844630146
