species,barcode,collector_number,plant_height_m,leaf_length_cm,leaf_width_cm,leaf_sla,inflorescence_length_cm,inflorescence_width_cm,fruit_weight_mg,fruit_height_mm,fruit_length_mm,fruit_width_mm,seed_number,seed_weight_mg,seed_height_mm,seed_length_mm,seed_width_mm
ruschiana,ny1654190,Caddah_855,3,14.0,4.0,7.0,7.0,2.7,12.0,3.5,3.46,3.53,8,1.50,1.87,1.48,1.80
ruschiana,ny02210467,Goldenberg_1625,2.5,12.5,2.8,10.0,6.8,2.5,6.0,3.5,2.54,2.81,4,1.50,1.45,1.06,1.20
sclerophylla,ny00925246,Mexia_5769,1.75,15.0,6.5,4.4,20.0,10.0,7.0,2.8,2.03,2.69,3,2.33,1.59,1.09,1.88
sclerophylla,ny00522191,Harley_22809,1.5,6.5,3.5,5.6,7.0,5.0,10.0,3.0,2.69,2.93,3,3.33,1.94,1.22,1.77
sclerophylla,ny00522192,Harley_19545,4,9.5,4.3,3.5,10.0,4.0,6.0,2.5,2.54,2.69,2,3.00,2.20,1.78,1.82
secundiflora,ny03107555,Torke_1327,na,20.0,11.0,11.3,7.0,5.0,13.0,3.8,3.87,3.72,32,0.41,1.14,1.03,1.00
secundiflora,ny01098107,Silva_2203,2,13.5,8.0,4.8,11.0,5.0,13.0,3.5,3.14,3.78,46,0.28,1.16,1.04,1.00
secundiflora,ny01098103,Pires_6488,na,10.5,5.5,7.3,11.0,4.5,17.0,3.7,2.87,3.79,36,0.47,1.20,0.91,0.80
serialis,ny01796314,Clarke_3397,3,14.5,5.8,5.5,17.0,5.4,11.0,3.3,3.46,3.71,17,0.65,1.20,0.94,0.84
serialis,ny00558030,Almeida_8,8,13.5,4.5,8.1,9.0,5.0,12.0,3.5,3.78,3.94,19,0.63,1.46,1.24,1.27
serialis,ny1654037,Carabot_4652,na,11.5,4.5,7.1,11.0,6.5,10.0,3.1,3.34,3.76,17,0.59,1.44,1.14,1.31
serialis,ny01796312,Diaz_3128,5,18.0,7.0,7.3,14.0,12.5,21.0,4.4,4.36,4.53,40,0.53,na,na,na
shepherdii,ny03287746,Ivanauskas_6632,12,11.5,6.3,12.0,11.5,7.5,4.0,2.6,2.57,2.68,3,1.33,1.50,1.02,1.06
shepherdii,ny02514754,Goldenberg_2189,8,14.5,6.5,6.9,14.5,10.5,4.0,2.4,2.15,2.54,2,2.00,1.95,1.22,1.37
shepherdii,ny1738500,Goldenberg_1504,7,21.0,12.0,9.0,18.0,14.0,3.0,2.1,2.21,2.56,3,1.00,1.71,0.73,1.56
shepherdii,ny00522450,LemosFroes_20146,na,19.5,11.1,11.3,18.0,12.0,5.0,2.5,2.31,2.56,3,1.67,1.80,1.26,1.38
stenostachya,flor0064957,Rosa_583,1.2,10.4,7.3,7.9,10.9,5.6,25.0,4.1,3.65,4.22,40,0.63,1.15,1.05,0.86
stenostachya,flor0036070,Amaral_166,2,7.8,3.3,6.2,14.0,6.0,17.0,3.5,3.83,4,47,0.36,1.20,0.76,0.86
stenostachya,flor0034182,Souza_1430,1.5,9.7,3.8,6.1,7.9,3.8,17.0,3.4,3.67,3.54,28,0.61,1.02,0.78,1.02
stenostachya,ny00522296,Nee_39702,2,10.5,4.2,9.3,19.5,8.0,15.0,3.8,3.42,3.5,52,0.29,0.99,0.73,0.76
stenostachya,ny01796335,Killip_15028,1.5,11.0,4.5,8.6,13.5,4.5,9.0,5.0,2.55,4.75,26,0.35,0.99,1.01,0.99
stenostachya,ny03677293,Suclli_2361,8,11.5,5.0,13.5,8.3,6.0,17.0,3.9,3.4,4.17,73,0.23,1.03,0.83,0.68
suberosa,ny02497201,Meirelles_784,4,27.0,11.6,15.0,27.0,7.5,4.0,3.5,2.1,3.47,3,1.33,na,na,na
tiliifolia,upcb????,Martinelli_16785,8,10.2,10.1,9.8,8.4,4.8,14.0,2.7,2.37,3.08,69,0.20,0.85,0.63,0.48
tiliifolia,ny1738715,Fuentes_5557,1.2,10.0,10.0,8.0,12.5,4.0,20.0,3.3,3.75,3.8,110,0.18,1.13,0.64,0.84
tiliifolia,ny03677842,Huamantupa_7195,2,12.5,11.5,6.0,13.0,6.0,10.0,3.0,3.04,2.98,93,0.11,0.75,0.56,0.43
valtheri,mbml053590,SantosFilho_35,3,11.6,4.5,8.4,9.3,2.5,31.0,3.7,4.03,4.45,36,0.86,1.28,0.75,1.20
valtheri,ny00521561,Reitz_6589,4,11.0,4.5,5.7,16.0,3.5,12.0,3.2,3.66,3.8,35,0.34,1.29,0.78,1.00
willdenowii,ny1738437,Caddah_826,3,15.0,5.0,5.0,14.0,14.0,10.0,3.8,3.29,3.57,1,10.00,1.87,1.72,1.59
willdenowii,ny1738457,Caddah_863,4,19.0,7.3,9.1,8.0,4.0,7.0,3.1,3.01,2.89,1,7.00,1.92,1.46,1.68
willdenowii,ny03257230,Martinelli_19891,2.5,14.0,5.5,7.3,19.0,12.5,31.0,3.5,4.06,4.82,2,15.50,3.86,2.74,3.39
