"lambda1","mu1","q01"
0.48377093146866,3.23778317311763e-09,0.0954138656045345
0.322724191592775,5.4484620618468e-09,0.0711833518238514
0.48692942817058,6.79098674870485e-08,0.10720352010384
0.426080349837099,3.04087253842935e-09,0.10068332824967
0.222859664503708,1.55974255927067e-07,0.0542664690403484
0.295656357072749,2.75011706533953e-08,0.074475224551879
0.403862280294411,4.99096000457971e-08,0.0984914093131744
0.355403455172403,5.86171054147656e-09,0.0739069715349843
0.26181230889024,1.96441894196051e-09,0.0606764804792631
0.389878344631995,1.3754095828395e-08,0.0968430592392023
0.354933737088509,7.98779694844673e-09,0.0838224197705838
0.353552121779184,1.17609657504725e-06,0.0802617465590962
0.387632074523443,7.64279563485793e-10,0.0732432419164186
0.303114167900158,2.73751962526983e-09,0.0677528433046522
0.39602347296259,4.48129540812927e-08,0.088065176524133
0.391046661156591,3.7585504392164e-09,0.0977996066872207
0.330994566320076,9.99960880790645e-11,0.0681542181543566
0.387269367000995,6.40803682220769e-09,0.0868816473105302
0.326585849506537,2.71329378204438e-09,0.0767096872857373
0.450696497557154,2.36977672387021e-09,0.0968580149494543
0.420400333473429,2.46096723993621e-07,0.0917823887011686
0.401453714887736,1.10842290918006e-08,0.0935357654608707
0.39228879939193,1.80695171105358e-08,0.0873626647937564
0.355499533354871,4.73857380165412e-08,0.0793837700147756
0.507922160200425,4.43201999220227e-09,0.113576286665757
0.354891420177258,2.80792597224946e-10,0.0824618979372523
0.309745362004882,3.14780841271784e-07,0.0763299431935168
0.330843434768974,4.12476645059575e-07,0.0684739402883889
0.427227115144863,1.92573873490003e-08,0.0916238803218686
0.32478630472794,2.37958287850181e-09,0.0735512064537487
0.409048682072888,3.52561636263134e-10,0.0930071886181292
0.358016036402839,1.33254218787865e-08,0.0776730430188973
0.408275154849677,3.25960885523114e-09,0.0893974965593605
0.392504276492813,4.85968802965429e-09,0.0961535953486314
0.353462867187897,4.28312805485089e-09,0.0788619974319544
0.424415861734661,2.74147651563485e-08,0.0980108319561613
0.355682606199094,2.54371293268739e-10,0.0828398105904196
0.354260323155084,5.32764069817782e-09,0.084791623929417
0.363975405820046,1.67527049342225e-08,0.0805134201747299
0.354632769390797,1.34798615942183e-08,0.0796643241562635
0.470327819832205,2.52336322704519e-07,0.118641595314529
0.405189244243453,2.12645835536177e-08,0.0894826763916357
0.302033359434771,1.53895918357228e-07,0.0728114349440721
0.293025470743619,1.3095475614892e-06,0.0651724093476653
0.360871222875867,4.58176982603914e-07,0.0797804116123767
0.304161011689069,2.03902392324406e-10,0.0564135239748391
0.394626792516806,1.30615230641297e-09,0.0924082363817711
0.38854902285598,3.92458568466246e-10,0.0922032243445812
0.307642526476571,3.75344454678564e-09,0.0628445366874689
0.398557566647914,6.17758854527115e-09,0.0848776840658365
0.23921754282845,1.78375618640206e-07,0.0520885519521987
0.443527819271315,1.46388028316501e-10,0.100970668531308
0.4211714264406,1.76974976141372e-09,0.0957461928540542
0.271861942808171,1.37183342108546e-10,0.0637183601099418
0.345479555826499,2.79772083576441e-08,0.0763783105348651
0.398634282614882,2.73286826918705e-07,0.0902855974156741
0.30678399858564,2.13002734624484e-08,0.0610391846669373
0.398871966616421,1.5272151550652e-09,0.0972857746068763
0.429013663303798,5.00932274628657e-10,0.098736826478061
0.356457947767155,3.90114037057199e-07,0.0793699878108325
0.362181459634655,9.54820749451681e-08,0.0821248505614178
0.46033818111522,2.47831158004589e-09,0.107865193183809
0.357862752559103,1.06835943098643e-08,0.0770753910850624
0.398497093636806,4.84193736762233e-09,0.0910461440841605
0.424348573762158,1.16843905646082e-08,0.0961197364484459
0.29009606168535,2.87891776774464e-08,0.0699886166568692
0.335594883502949,8.29241406847916e-11,0.0794752681703684
0.481922709719467,1.95582173357672e-10,0.109704708729176
0.348627097158947,1.55937677922543e-08,0.0788086147684864
0.400336807570995,8.85938874425685e-09,0.0907757705782755
0.363758482082822,3.3395316886457e-09,0.083797534519035
0.378468037161861,2.40010216616144e-07,0.0854483905755134
0.338381082422027,2.20099808336649e-08,0.0734536384506548
0.346207441452694,6.43899240344328e-10,0.0827830885383223
0.385087566635794,1.20683173349639e-05,0.0814125150881435
0.472455014000221,8.20725668408206e-09,0.103524321039694
0.285700984582983,2.19486086951279e-09,0.0646431481313697
0.303776519681827,1.05045364564724e-07,0.0643128353278235
0.3663918519106,3.75388283450265e-11,0.0926651187767649
0.312606391530305,6.34745188037102e-10,0.0730535052755054
0.394226587227621,1.80965450386165e-07,0.0768479964646835
0.382240193152016,6.70552300395785e-11,0.0828157490557604
0.305745733077237,7.04589280512557e-07,0.0699554772579155
0.372560364450509,2.15158750462379e-09,0.0803066352664824
0.331463148780464,3.43871226866396e-07,0.0859375858908456
0.392301490124946,1.88380111860659e-08,0.0869434306651284
0.392343259282094,1.81976796151546e-09,0.091129437924371
0.485595972629001,7.25767593860858e-11,0.110581506230834
0.297386613706293,1.55449123348373e-09,0.0666866740648241
0.367227182779628,8.13356732752111e-09,0.0840317479891915
0.396016679464685,1.31680636431071e-09,0.087022071534016
0.393220521705487,3.31465923225267e-07,0.0897736185339825
0.366387106901635,1.72262333236321e-07,0.0889170444978457
0.318079239749319,4.53281568908067e-08,0.083324245038366
0.301365373707634,3.93912116561137e-08,0.0716187668730356
0.371199914813583,1.74445469837459e-09,0.0830667360615404
0.310743285374031,2.0680466877313e-07,0.0660991807320322
0.337226325526204,1.29772965960325e-07,0.0695873121316643
0.382651346585834,7.26048346985498e-09,0.0922947649469992
0.335376410043938,1.3605230302908e-08,0.0754897463305433
