"lambda0","lambda1","mu0","mu1","q01"
0.397387398769982,0.719073731894175,7.98944623988375e-10,0.0526143032155104,0.0920877974428674
0.268341648949116,0.529613815559786,1.23358806191737e-09,0.125102906171126,0.0703845199529488
0.401253573268521,0.830180235965277,2.37284174599496e-08,0.223140389437066,0.108794044110316
0.350341163168303,0.876154665267885,1.60397071028186e-09,0.394890888038243,0.106097042942984
0.188354972537789,0.353056199187959,1.84150365185321e-08,0.0902770636454289,0.0541822385858793
0.240561214156779,0.647092892503809,1.0814858123308e-08,0.322838442592433,0.0792205951750423
0.338955264373026,0.603164186311385,5.43643704625058e-08,0.0952321613294604,0.0964154557384134
0.30224306336784,0.550133530662633,2.0906317708403e-09,0.119080953666145,0.0747895630528797
0.221790543274278,0.353858221689293,5.247040691585e-09,0.00727670832435891,0.0578943110484579
0.322362922634469,0.560754266332969,1.17385580242813e-08,0.0502917991600327,0.0905289160574959
0.290773063916027,0.649579200741352,2.09093349100337e-08,0.221793257700794,0.0849555132351122
0.297623298239392,0.596779563173663,5.10536359782473e-09,0.186326349541334,0.0793074077810658
0.330386833852872,0.516544729378475,2.10527122318148e-08,0.00603103022722216,0.0702431615347872
0.242586566542931,0.652373301691458,1.310935997139e-10,0.286805693818662,0.0716471113738408
0.336790385338225,0.61815522474256,1.65957894548849e-08,0.144228423465423,0.0882150000551241
0.325807388405853,0.582191916101716,1.39716333010598e-09,0.0832873549483434,0.0919615210418716
0.27446936974549,0.513543304369396,2.12027712592487e-09,0.0956573660093707,0.068621361618957
0.325905259797667,0.585035614458135,1.89715725559059e-09,0.100939358835029,0.0873564936092761
0.27144464553335,0.46494840655764,9.10735896427439e-08,0.0297387538127394,0.0733964487596428
0.377863864162582,0.703869443202726,2.07069223643979e-08,0.141346946335821,0.0960942524505672
0.375103654129185,0.514727027547205,9.16272580297711e-08,1.27266959286709e-06,0.0888607128429178
0.32566343153571,0.791972768241634,3.28026125592566e-09,0.312239125593415,0.0969132868033151
0.323526888716973,0.658583985741062,1.06148815296613e-10,0.165217056807465,0.0873053679963668
0.290793630524349,0.63407135446339,8.44126116465355e-09,0.197819943518812,0.0801115828320011
0.422228288162566,0.822432319248452,8.99765106524051e-10,0.178845804115322,0.111073526599436
0.320571945557464,0.423537294473297,1.3172382074086e-07,4.27608065170172e-06,0.0796446453521948
0.246505133623401,0.573990481648673,4.10269688406232e-09,0.171222896039618,0.0758093097541595
0.271780913460251,0.510933159796775,7.86720678626646e-09,0.0794836891372757,0.0670695163928793
0.351739176088949,0.72345575266351,6.32380598233591e-09,0.175011133049113,0.0907023791343554
0.255847845042911,0.671475139956039,3.62719994021745e-09,0.26122207508557,0.074788008478922
0.3345771324362,0.689471826768787,2.43411226570268e-09,0.168151216370636,0.092668965321909
0.291692470828756,0.710053572984997,1.21876859426399e-09,0.29574822386622,0.0832724592353302
0.349908135072788,0.600271689133021,4.04034509148889e-09,0.102603093050583,0.0885788681124535
0.331579064583818,0.685995928784628,8.27624723339065e-08,0.250611910944686,0.0992065335267408
0.286117031189278,0.58299464919969,1.4727342128167e-08,0.108197787806691,0.0759346995633898
0.363409196700087,0.549546146284562,1.41937295366294e-05,2.82386623219778e-05,0.0932737494036745
0.307676623039206,0.494766124853005,1.31980144841047e-09,0.0630720189573608,0.0803795883416558
0.298634658152129,0.557172460443534,7.60697630588736e-09,0.138613648975607,0.0845013103681535
0.310803615784104,0.550089641406966,2.50683651928461e-08,0.124103162866158,0.0814059235289958
0.3068011520111,0.510716903968307,1.07180122237904e-08,0.0834168329019066,0.0781003743628586
0.385800235899916,0.89609523878538,2.46536250662881e-08,0.372505261751555,0.121599625034271
0.341989812343811,0.579954897127309,2.57593096801519e-09,0.0579806461685961,0.0856525562968508
0.260834074963962,0.404042295588985,5.92266820144913e-07,0.0324286168071628,0.0698523120999423
0.249378710476955,0.414420526980757,3.49655419113694e-08,0.0440930707830103,0.0626118953961627
0.299891240562295,0.580897351248517,1.6634078870077e-08,0.119294526411692,0.0784901829335076
0.261192457934367,0.39570629204953,0,0,0.0547576924777618
0.315112810364818,0.686587834082247,2.24862265499132e-09,0.177566408388602,0.0917129512576484
0.31735443235964,0.620778608425088,2.48127547659029e-09,0.124765380903016,0.0900947177086006
0.248647934735048,0.453327548092421,2.49305254799102e-06,1.36301700531026e-05,0.0586529615160008
0.33693180129749,0.576164138329496,9.61168952710546e-08,0.0581573218477639,0.0815244947662153
0.197884639183932,0.32300963178406,1.30279844305301e-08,1.78386017336049e-07,0.0483928672539063
0.368169115297651,0.708783797523527,6.9207299692183e-07,0.154292243479722,0.0995578743867033
0.351984076455299,0.669107281940627,1.45546980410224e-07,0.155073631785764,0.0944566027389739
0.239634921736436,0.334595846419473,2.20082190205105e-07,6.13526404812556e-05,0.0615565655000997
0.292823809270305,0.500733502321153,8.55418408730738e-09,0.0821121343742208,0.076295634381771
0.320449080246275,0.851280296571158,2.47574741800587e-09,0.3739292044439,0.0933468332631746
0.25184544885183,0.459771017330919,8.60558735756186e-10,0.0325725193848936,0.0591912166182586
0.326315889379285,0.810120625262845,2.18039700838251e-09,0.361749814619813,0.0994970172112153
0.365997077989538,0.691872587758779,1.978008574487e-07,0.193240670606176,0.09953714387821
0.301593482123564,0.473134779675131,6.80340309384182e-07,1.01464935861605e-05,0.0751770995599542
0.290345056421873,0.740739385203112,2.05052214833374e-08,0.318878837844903,0.0877893336983914
0.37735931068941,0.72492646521962,6.76463035796626e-09,0.137624918711068,0.105649451432931
0.30043851814528,0.588756879521557,5.57588460360288e-08,0.154549912323198,0.0788411264252903
