"lambda1","mu1","q01","q10"
0.303500494888672,1.94364195835432e-08,1.06451872488051e-07,0.194380766284224
0.366385884518239,2.56936982599002e-07,0.000659682898476343,0.212786284149588
0.312621400698569,1.52826309204025e-05,3.98521119559767e-06,0.181311605166353
0.394259982612241,8.1559841045358e-08,1.96353556620454e-08,0.252142890214328
0.382243818335848,1.0353877786169e-07,0.0359112688758157,0.185667172038757
0.305638686115408,6.71672787753893e-08,0.0261015477484364,0.168197956416435
0.372558617230455,1.85516352936265e-08,0.0392330119877699,0.172432603037716
0.331608921251183,7.34921103278584e-08,1.16557241729968e-07,0.190604969879852
0.392225585455599,6.01629144512617e-06,8.80229032265868e-07,0.249148258629626
0.392405962131199,4.31599703235541e-06,0.00139232620299736,0.250812751402984
0.485596527608558,3.5758447821579e-07,0.0374566786320057,0.296096036234241
0.297394204268916,1.12046654045077e-08,0.000551279700359433,0.209652278069315
0.367197583088364,2.5466770239152e-07,0.0445059517465507,0.168163309807251
0.39602198784338,5.5900839866863e-06,2.47556151802924e-06,0.250741323534377
0.392650845830752,1.51785516603664e-07,0.0437041540668607,0.221514685167912
0.366403086814348,1.2510278754119e-08,1.23531046823606e-09,0.236401516181643
0.318034200667302,1.97093554221239e-06,1.25585499283266e-06,0.193997176400871
0.301381822299091,3.98515780032811e-09,5.61717655399568e-08,0.203058752011539
0.37123269657982,1.5619768873763e-07,0.0391327773275535,0.171455591206187
0.31080613523683,5.59351374594286e-07,2.92707906764275e-08,0.193577248844668
0.337220293380805,6.59712386591737e-06,3.72099997883506e-06,0.210398149842521
0.382608589880847,8.89139230796062e-08,1.49247265537881e-07,0.25775666342555
0.335313044851749,2.49304524100335e-10,0.0363256767807227,0.1507435478661
